player,position,age,squad,minutes,starts,goals,assists,xg,xa,xgi_per90,value_m,total_points
Christian Eriksen,MID,32,14,1134,12,1,2,0.97,2.46,0.28,5.8,48
Alejandro Garnacho,MID,20,14,2564,30,7,7,8.23,2.81,0.39,5.0,131
Victor Lindelöf,DEF,29,14,1328,14,1,1,0.69,0.43,0.08,4.5,62
Harry Maguire,DEF,31,14,1650,18,2,4,1.94,0.97,0.16,4.3,73
Kobbie Mainoo,MID,19,14,1927,24,3,1,0.87,1.35,0.1,4.4,77
Lisandro Martínez,DEF,26,14,643,8,0,1,0.0,0.08,0.01,4.7,15
Scott McTominay,MID,27,14,1891,18,7,1,6.0,0.41,0.31,4.5,98
Raphaël Varane,DEF,31,14,1370,16,1,0,0.81,0.36,0.07,4.9,44
Marcus Rashford,MID,27,14,2264,26,7,3,7.13,2.8,0.39,8.4,108
Luke Shaw,DEF,28,14,960,12,0,1,0.05,0.89,0.08,5.2,31
Aaron Wan-Bissaka,DEF,26,14,1778,20,0,2,0.11,1.47,0.08,4.4,47
Jonny Evans,DEF,36,14,1389,15,0,1,0.06,0.27,0.02,4.0,49
Elliot Anderson,MID,21,15,1018,10,0,2,1.63,1.25,0.25,4.2,42
Sven Botman,DEF,24,15,1375,15,2,2,0.62,0.54,0.08,4.5,51
Dan Burn,DEF,32,15,2725,32,2,2,3.35,1.12,0.15,4.7,97
Martin Dubravka,GK,35,15,1984,22,0,0,0.0,0.0,0.0,4.3,75
Anthony Gordon,MID,23,15,2896,34,11,16,10.03,5.4,0.48,6.4,183
Alexander Isak,FWD,24,15,2253,27,21,4,20.22,2.68,0.92,8.4,172
Emil Krafth,DEF,30,15,909,8,0,0,0.2,0.76,0.1,4.4,33
Jamaal Lascelles,DEF,31,15,1077,13,1,0,0.74,0.12,0.07,3.7,46
Sean Longstaff,MID,27,15,2742,30,6,3,6.76,2.8,0.31,4.8,110
Jacob Murphy,MID,29,15,1184,14,3,8,2.23,3.35,0.42,4.8,82
Nick Pope,GK,32,15,1345,15,0,0,0.02,0.0,0.0,5.3,57
Fabian Schär,DEF,32,15,3055,35,4,3,2.47,1.41,0.11,5.6,123
Kieran Trippier,DEF,34,15,2235,26,1,10,0.65,6.97,0.31,6.6,111
Callum Wilson,FWD,32,15,981,9,9,1,8.96,0.54,0.87,7.8,69
Harvey Barnes,MID,27,15,788,7,5,3,3.78,1.9,0.65,6.2,64
Tino Livramento,DEF,21,15,1302,12,1,0,0.38,0.83,0.09,4.0,45
Matt Turner,GK,30,16,1530,17,0,0,0.0,0.0,0.0,3.7,41
Callum Hudson-Odoi,MID,23,16,1846,20,8,2,2.65,2.02,0.23,4.7,109
Anthony Elanga,MID,22,16,2424,25,5,9,6.2,4.04,0.38,4.9,119
Serge Aurier,DEF,31,16,831,10,0,2,0.16,0.45,0.07,4.5,27
Taiwo Awoniyi,FWD,26,16,1036,12,6,3,4.85,0.9,0.5,6.3,67
Willy Boly,DEF,33,16,1437,18,2,1,1.56,0.77,0.15,4.5,58
Morgan Gibbs-White,MID,24,16,3156,35,5,12,6.65,6.79,0.38,5.7,142
Orel Mangala,MID,26,16,1562,19,1,0,0.77,0.28,0.06,5.0,40
Moussa Niakhaté,DEF,28,16,1456,15,1,0,1.3,0.25,0.1,4.5,29
Harry Toffolo,DEF,28,16,1452,15,1,3,1.1,1.14,0.14,4.4,52
Neco Williams,DEF,23,16,1630,18,0,1,0.74,1.54,0.13,4.3,39
Chris Wood,FWD,33,16,1801,20,14,1,11.71,0.92,0.64,4.7,131
Olu Aina,DEF,27,16,1690,20,1,1,0.34,1.01,0.07,4.5,45
Divock Origi,FWD,29,16,594,6,0,1,1.22,0.82,0.3,5.0,25
Matz Sels,GK,32,16,1440,16,0,0,0.0,0.09,0.01,4.5,34
Auston Trusty,DEF,25,17,2568,28,0,0,0.38,0.76,0.04,3.9,28
Cameron Archer,FWD,23,17,1829,21,4,3,5.28,1.39,0.33,4.2,82
Mason Holgate,DEF,28,17,711,9,0,0,0.55,0.2,0.1,4.0,1
Jayden Bogle,DEF,24,17,2787,32,3,3,2.36,1.14,0.12,4.5,63
Wes Foderingham,GK,33,17,2648,29,0,0,0.0,0.05,0.0,4.4,70
Oliver McBurnie,FWD,28,17,1279,15,6,3,6.91,1.98,0.63,5.4,66
Oliver Norwood,MID,33,17,1429,16,1,0,1.1,1.23,0.15,4.8,42
Ben Osborn,MID,29,17,1359,14,0,2,0.22,0.93,0.07,4.8,38
Jack Robinson,DEF,31,17,2883,31,1,1,1.13,0.93,0.07,4.3,33
Luke Thomas,DEF,23,17,916,11,0,0,0.53,0.18,0.07,4.0,7
Rodrigo Bentancur,MID,27,18,997,13,1,1,2.01,1.05,0.27,5.4,32
Yves Bissouma,MID,27,18,2070,26,0,0,1.18,1.67,0.12,5.0,44
Ben Davies,DEF,28,18,1085,12,1,2,2.34,0.57,0.24,4.3,34
Pierre-Emile Højbjerg,MID,29,18,1289,8,0,0,0.68,1.57,0.16,5.1,39
Dejan Kulusevski,MID,24,18,2759,31,8,3,4.95,6.37,0.37,6.7,130
James Maddison,MID,27,18,2137,26,4,11,6.53,6.21,0.54,7.8,117
Pedro Porro,DEF,24,18,3090,35,3,8,2.92,6.18,0.27,5.9,136
Cristian Romero,DEF,26,18,2790,33,5,0,3.25,1.41,0.15,5.1,107
Pape Matar Sarr,MID,21,18,2063,27,3,3,3.17,2.09,0.23,4.4,86
Oliver Skipp,MID,23,18,691,5,0,0,0.77,0.5,0.17,4.5,22
Son Heung-min,MID,32,18,2934,34,17,10,11.49,7.87,0.59,10.0,213
Destiny Udogie,DEF,21,18,2391,28,2,3,2.42,2.36,0.18,4.9,79
Timo Werner,FWD,28,18,808,10,2,4,3.81,2.93,0.75,6.3,46
Nayef Aguerd,DEF,28,19,1857,21,1,0,1.37,0.41,0.09,4.4,36
Michail Antonio,FWD,34,19,1692,21,6,2,5.45,1.28,0.36,5.7,78
Alphonse Areola,GK,31,19,2700,31,0,0,0.0,0.0,0.0,4.2,116
Saïd Benrahma,MID,29,19,611,5,0,1,1.91,0.77,0.39,5.6,20
Jarrod Bowen,MID,28,19,3020,34,16,6,11.96,4.9,0.51,7.6,182
Vladimír Coufal,DEF,32,19,3135,36,0,7,0.35,3.01,0.1,4.5,85
Lukasz Fabianski,GK,39,19,721,7,0,0,0.0,0.0,0.0,4.2,24
Ben Johnson,DEF,24,19,538,4,0,0,0.25,0.11,0.06,4.4,17
Kurt Zouma,DEF,29,19,2838,32,3,0,1.9,0.07,0.06,4.5,76
Angelo Ogbonna,DEF,36,19,634,7,0,0,0.04,0.06,0.02,4.2,19
James Ward-Prowse,MID,29,19,3000,34,7,7,6.23,6.3,0.38,5.7,146
Konstantinos Mavropanos,DEF,26,19,1500,16,1,0,1.19,0.09,0.08,4.5,40
Rayan Aït-Nouri,DEF,23,20,2327,29,2,3,3.12,1.81,0.19,4.6,77
Craig Dawson,DEF,34,20,2209,25,1,1,1.58,0.42,0.08,4.5,69
Hwang Hee-chan,MID,28,20,2116,25,12,3,7.53,2.84,0.44,5.4,125
Max Kilman,DEF,27,20,3420,38,2,0,1.78,1.12,0.08,4.4,82
Mario Lemina,MID,31,20,2969,34,4,1,4.6,1.26,0.18,4.9,95
Pablo Sarabia,MID,32,20,1737,20,4,7,5.52,5.0,0.55,4.5,99
Boubacar Traoré,MID,23,20,802,7,0,0,0.28,0.33,0.07,4.3,25
Matt Doherty,DEF,33,20,1136,9,1,0,0.89,0.86,0.14,4.3,41
